Name,z,α,logFλ,logλLλ,Line,FWHM,logMBH,logL/LEdd
1821+643,0.297,-2.44,-14.02,46.15,Hβ,5250,9.88,-0.86
-1.24,-13.29,46.30,CIV,3966,9.46,-0.68
3C422,0.942,5.16,-15.40,45.74,MgII,1594,8.34,0.01
MC2112+172,0.878,-1.76,-15.94,45.12,MgII,2648,8.49,-0.76
Q2125-4432,2.503,-1.04,-16.15,45.68,CIV,6704,9.57,-1.41
PKS2128-12,0.501,-1.03,-13.87,46.26,CIV,4733,9.59,-0.85
PKS2135-14,0.200,-0.59,-14.14,45.09,CIV,4861,8.98,-1.41
2141+175,0.211,-2.28,-14.72,45.14,Hβ,5179,9.19,-1.18
-0.68,-14.00,45.28,CIV,4222,8.96,-1.20
Z215539-3026,2.593,-1.35,-15.97,45.90,CIV,5065,9.45,-1.07
2201+315,0.295,-1.60,-13.37,46.22,CIV,4733,9.57,-0.87
-2.77,-14.58,45.59,Hβ,3022,9.01,-0.55
PKS2204-20,1.923,-0.97,-16.22,45.34,CIV,3348,8.76,-0.94
Z221139-3132,2.391,-0.93,-16.12,45.66,CIV,3756,9.05,-0.91
Z222702-3205,2.177,-1.41,-16.11,45.58,CIV,6573,9.50,-1.44
Q2225-403A,2.410,-1.03,-15.70,46.09,CIV,5372,9.60,-1.03
Q2225-403B,0.932,-0.88,-16.13,44.99,MgII,4571,8.90,-1.30
PKS2227-08,1.562,0.00,0.00,46.91,MgII,1755,8.94,0.58
Z223048-2954,2.652,-1.12,-16.22,45.68,CIV,5450,9.39,-1.23
2247+140,0.235,-1.48,-15.27,44.68,Hβ,3178,8.48,-0.93
Z225950-3206,2.225,-1.24,-15.78,45.92,CIV,8110,9.87,-1.47
Z231751-3147,2.628,-1.36,-16.34,45.54,CIV,2364,8.56,-0.54
Z232755-3154,2.737,-0.95,-16.34,45.59,CIV,3009,8.81,-0.74
Z233451-2929,2.669,-1.18,-16.31,45.59,CIV,2676,8.70,-0.63
PKS2345-167,0.576,-0.23,-15.05,45.57,MgII,3350,8.91,-0.73
Q2348-4012,1.500,-1.23,-15.82,45.82,MgII,3223,8.98,-0.55
